Muestra,Valor
0,252
1,268
2,281
3,293
4,300
5,304
6,303
7,296
8,286
9,271
10,252
11,230
12,206
13,182
14,157
15,135
16,118
17,106
18,101
19,103
20,113
21,129
22,152
23,179
24,208
25,238
26,265
27,286
28,300
29,305
30,300
31,284
32,259
33,228
34,194
35,161
36,132
37,111
38,102
39,104
40,121
41,147
42,184
43,221
44,257
45,286
46,302
47,303
48,288
49,259
50,221
51,179
52,141
53,112
54,100
55,108
56,132
57,170
58,217
59,259
60,290
61,303
62,296
63,267
64,224
65,176
66,133
67,105
68,102
69,120
70,160
71,210
72,259
73,293
74,303
75,287
76,248
77,196
78,146
79,110
80,101
81,121
82,165
83,220
84,270
85,300
86,299
87,267
88,214
89,157
90,114
91,101
92,123
93,173
94,234
95,283
96,304
97,288
98,240
99,177
100,124
101,101
102,120
103,173
104,238
105,288
106,305
107,277
108,222
109,161
110,114
111,102
112,130
113,185
114,247
115,291
116,304
117,280
118,230
119,171
120,123
121,102
122,114
123,155
124,210
125,263
126,297
127,303
128,279
129,233
130,178
131,131
132,103
133,104
134,131
135,177
136,229
137,273
138,300
139,302
140,280
141,239
142,190
143,145
144,112
145,99
146,110
147,141
148,184
149,229
150,268
151,295
152,303
153,291
154,262
155,223
156,179
157,140
158,112
159,100
160,105
161,127
162,159
163,197
164,237
165,270
166,294
167,304
168,299
169,281
170,254
171,218
172,183
173,150
174,124
175,106
176,101
177,1
178,123
179,147
180,176
181,208
182,239
183,266
184,287
185,300
186,305
187,301
188,289
189,222
190,196
191,170
192,146
193,127
194,113
195,103
196,101
197,104
198,113
199,125
200,141
201,160
202,180
203,201
204,222
205,241
206,259
207,274
208,286
209,295
210,301
211,303
212,304
213,301
214,295
215,288
216,279
217,268
218,256
219,244
220,231
221,218
222,206
223,193
224,182
225,171
226,161
227,151
228,143
229,137
230,129
231,123
232,118
233,114
234,111
235,108
236,106
237,104
238,102
239,102
240,101
241,101
242,100
243,100
244,100
245,100
246,101
247,100
248,100
249,101
250,101
251,102
252,102
253,102
254,104
255,105
256,107
257,109
258,113
259,116
260,120
261,125
262,131
263,137
264,144
265,152
266,162
267,172
268,182
269,194
270,205
271,219
272,231
273,243
274,256
275,268
276,278
277,287
278,295
279,301
280,305
281,304
282,302
283,297
284,288
285,276
286,262
287,246
288,227
289,206
290,185
291,164
292,144
293,128
294,114
295,105
296,100
297,101
298,108
299,121
300,139
301,162
302,188
303,214
304,240
305,265
306,284
307,296
308,304
309,301
310,290
311,271
312,245
313,216
314,184
315,153
316,127
317,109
318,100
319,103
320,116
321,142
322,174
323,210
324,244
325,274
326,296
327,304
328,298
329,278
330,248
331,208
332,169
333,134
334,110
335,101
336,109
337,132
338,169
339,211
340,253
341,286
342,303
343,301
344,281
345,245
346,199
347,154
348,120
349,102
350,107
351,133
352,176
353,225
354,269
355,298
356,304
357,285
358,245
359,195
360,145
361,110
362,101
363,119
364,161
365,215
366,265
367,298
368,302
369,277
370,226
371,169
372,122
373,101
374,113
375,156
376,215
377,268
378,301
379,298
380,259
381,201
382,142
383,106
384,105
385,144
386,204
387,263
388,300
389,296
390,253
391,190
392,131
393,101
394,110
395,156
396,218
397,274
398,303
399,293
400,252
401,191
402,136
403,104
404,106
405,140
406,195
407,251
408,292
409,304
410,284
411,239
412,184
413,133
414,105
415,105
416,133
417,180
418,234
419,278
420,303
421,300
422,273
423,228
424,176
425,132
426,105
427,103
428,124
429,164
430,211
431,257
432,291
433,304
434,297
435,270
436,231
437,185
438,144
439,114
440,100
441,109
442,131
443,165
444,207
445,248
446,280
447,300
448,304
449,292
450,267
451,234
452,195
453,159
454,128
455,108
456,100
457,105
458,123
459,149
460,181
461,216
462,248
463,275
464,294
465,302
466,301
467,290
468,271
469,246
470,217
471,188
472,159
473,134
474,115
475,104
476,100
477,103
478,113
479,129
480,151
481,172
482,197
483,224
484,246
485,266
486,282
487,294
488,302
489,304
490,303
491,296
492,286
493,272
494,257
495,240
496,222
497,204
498,187
499,170
