Muestra,Valor
0,109
1,106
2,95
3,103
4,100
5,104
6,111
7,119
8,126
9,140
10,145
11,155
12,168
13,185
14,200
15,212
16,225
17,243
18,254
19,264
20,278
21,292
22,275
23,307
24,291
25,307
26,311
27,301
28,303
29,303
30,298
31,299
32,271
33,277
34,256
35,262
36,234
37,244
38,224
39,198
40,192
41,175
42,165
43,148
44,135
45,129
46,118
47,108
48,103
49,101
50,98
51,99
52,99
53,108
54,109
55,112
56,126
57,133
58,140
59,162
60,166
61,174
62,193
63,210
64,199
65,249
66,246
67,274
68,261
69,280
70,277
71,296
72,273
73,295
74,289
75,298
76,285
77,281
78,269
79,272
80,286
81,266
82,251
83,240
84,235
85,216
86,205
87,194
88,183
89,170
90,154
91,148
92,133
93,126
94,116
95,114
96,110
97,98
98,95
99,111
100,114
101,118
102,130
103,114
104,138
105,143
106,167
107,151
108,162
109,191
110,202
111,224
112,242
113,241
114,264
115,274
116,289
117,266
118,275
119,308
120,290
121,314
122,306
123,302
124,303
125,301
126,293
127,287
128,275
129,265
130,258
131,242
132,227
133,214
134,205
135,192
136,176
137,163
138,153
139,148
140,124
141,110
142,127
143,104
144,77
145,110
146,86
147,102
148,90
149,99
150,109
151,108
152,137
153,134
154,153
155,149
156,152
157,168
158,182
159,214
160,218
161,236
162,250
163,258
164,269
165,279
166,284
167,295
168,301
169,306
170,307
171,306
172,303
173,299
174,296
175,287
176,280
177,270
178,263
179,238
180,240
181,210
182,224
183,194
184,175
185,174
186,149
187,136
188,127
189,130
190,117
191,120
192,98
193,96
194,97
195,94
196,126
197,125
198,121
199,108
200,136
201,140
202,148
203,164
204,173
205,188
206,203
207,213
208,227
209,236
210,251
211,265
212,271
213,282
214,288
215,294
216,293
217,298
218,312
219,313
220,308
221,289
222,306
223,304
224,281
225,260
226,240
227,215
228,215
229,214
230,196
231,189
232,151
233,152
234,155
235,135
236,139
237,100
238,99
239,119
240,114
241,110
242,90
243,107
244,106
245,109
246,115
247,123
248,136
249,141
250,147
251,162
252,178
253,189
254,206
255,221
256,234
257,243
258,259
259,264
260,284
261,280
262,280
263,297
264,301
265,295
266,306
267,297
268,306
269,301
270,299
271,295
272,273
273,253
274,254
275,240
276,227
277,236
278,208
279,186
280,168
281,156
282,144
283,146
284,127
285,117
286,115
287,104
288,100
289,100
290,100
291,96
292,101
293,107
294,111
295,120
296,128
297,136
298,153
299,166
300,164
301,195
302,224
303,241
304,248
305,247
306,245
307,271
308,267
309,275
310,282
311,280
312,305
313,304
314,299
315,300
316,286
317,310
318,280
319,270
320,265
321,260
322,246
323,239
324,230
325,214
326,204
327,192
328,182
329,168
330,153
331,141
332,130
333,121
334,118
335,110
336,105
337,114
338,103
339,97
340,116
341,126
342,137
343,147
344,159
345,164
346,137
347,160
348,178
349,194
350,211
351,236
352,226
353,230
354,269
355,285
356,264
357,308
358,299
359,305
360,309
361,315
362,295
363,308
364,302
365,297
366,290
367,288
368,273
369,259
370,249
371,237
372,225
373,212
374,199
375,188
376,174
377,156
378,147
379,144
380,130
381,106
382,124
383,93
384,78
385,68
386,114
387,80
388,102
389,98
390,109
391,115
392,113
393,127
394,157
395,183
396,162
397,205
398,198
399,208
400,231
401,250
402,257
403,266
404,275
405,283
406,291
407,301
408,307
409,306
410,303
411,305
412,306
413,296
414,289
415,281
416,275
417,258
418,252
419,248
420,228
421,209
422,193
423,190
424,183
425,165
426,168
427,157
428,139
429,127
430,119
431,106
432,104
433,95
434,106
435,123
436,123
437,96
438,132
439,130
440,133
441,133
442,156
443,170
444,184
445,192
446,209
447,218
448,228
449,243
450,254
451,264
452,274
453,282
454,292
455,292
456,301
457,299
458,296
459,302
460,310
461,311
462,291
463,249
464,263
465,256
466,230
467,216
468,206
469,203
470,184
471,192
472,154
473,148
474,144
475,127
476,141
477,99
478,118
479,116
480,92
481,90
482,98
483,98
484,105
485,112
486,115
487,132
488,135
489,146
490,159
491,171
492,184
493,198
494,211
495,223
496,236
497,253
498,270
499,277
