Muestra,Valor
0,316
1,313
2,306
3,294
4,298
5,282
6,270
7,277
8,258
9,230
10,227
11,220
12,193
13,182
14,164
15,164
16,137
17,122
18,118
19,103
20,110
21,123
22,106
23,109
24,105
25,114
26,114
27,122
28,130
29,137
30,149
31,156
32,169
33,182
34,197
35,207
36,220
37,233
38,245
39,253
40,263
41,276
42,275
43,283
44,288
45,301
46,298
47,270
48,288
49,285
50,269
51,264
52,257
53,241
54,231
55,217
56,224
57,210
58,192
59,168
60,164
61,167
62,151
63,131
64,125
65,112
66,108
67,108
68,99
69,102
70,105
71,123
72,112
73,111
74,125
75,135
76,146
77,152
78,168
79,178
80,195
81,205
82,215
83,232
84,246
85,266
86,273
87,274
88,292
89,298
90,300
91,300
92,317
93,321
94,320
95,319
96,309
97,311
98,304
99,308
100,290
101,263
102,270
103,242
104,232
105,222
106,202
107,193
108,171
109,162
110,151
111,130
112,125
113,118
114,111
115,99
116,96
117,95
118,93
119,90
120,94
121,104
122,101
123,118
124,130
125,139
126,130
127,156
128,145
129,160
130,190
131,191
132,201
133,219
134,234
135,238
136,273
137,277
138,286
139,275
140,279
141,289
142,287
143,299
144,297
145,296
146,285
147,279
148,274
149,267
150,260
151,258
152,235
153,218
154,209
155,194
156,186
157,174
158,167
159,156
160,147
161,143
162,123
163,121
164,118
165,107
166,110
167,129
168,127
169,119
170,150
171,146
172,153
173,156
174,169
175,179
176,183
177,197
178,208
179,237
180,254
181,271
182,256
183,280
184,279
185,284
186,292
187,296
188,298
189,303
190,302
191,296
192,292
193,292
194,284
195,277
196,267
197,257
198,244
199,227
200,219
201,212
202,192
203,179
204,155
205,152
206,140
207,117
208,111
209,92
210,95
211,92
212,78
213,78
214,80
215,84
216,91
217,108
218,110
219,101
220,132
221,139
222,140
223,160
224,184
225,187
226,208
227,216
228,229
229,250
230,265
231,287
232,285
233,290
234,300
235,308
236,313
237,318
238,318
239,315
240,318
241,313
242,302
243,289
244,275
245,275
246,264
247,253
248,248
249,238
250,232
251,210
252,192
253,178
254,172
255,146
256,137
257,117
258,113
259,122
260,125
261,113
262,108
263,108
264,117
265,103
266,118
267,127
268,134
269,143
270,152
271,159
272,177
273,192
274,203
275,214
276,227
277,242
278,247
279,258
280,268
281,269
282,286
283,284
284,294
285,281
286,286
287,293
288,275
289,278
290,262
291,264
292,249
293,234
294,228
295,210
296,209
297,203
298,191
299,167
300,154
301,161
302,130
303,121
304,131
305,113
306,107
307,107
308,106
309,100
310,115
311,120
312,113
313,117
314,126
315,137
316,143
317,154
318,172
319,184
320,205
321,203
322,215
323,229
324,252
325,255
326,259
327,299
328,281
329,317
330,311
331,329
332,317
333,320
334,315
335,322
336,305
337,303
338,293
339,295
340,275
341,263
342,247
343,233
344,228
345,212
346,199
347,181
348,167
349,156
350,137
351,126
352,121
353,114
354,102
355,99
356,97
357,93
358,93
359,93
360,92
361,105
362,109
363,117
364,115
365,148
366,146
367,156
368,150
369,181
370,196
371,205
372,214
373,227
374,235
375,253
376,266
377,272
378,278
379,283
380,291
381,294
382,288
383,297
384,293
385,292
386,283
387,277
388,269
389,264
390,258
391,246
392,226
393,214
394,203
395,192
396,178
397,170
398,163
399,149
400,141
401,127
402,123
403,124
404,110
405,94
406,100
407,111
408,133
409,114
410,121
411,148
412,155
413,162
414,174
415,180
416,183
417,208
418,218
419,242
420,235
421,269
422,269
423,276
424,286
425,296
426,297
427,299
428,301
429,300
430,292
431,291
432,295
433,289
434,280
435,271
436,261
437,248
438,236
439,226
440,217
441,201
442,185
443,171
444,156
445,146
446,124
447,114
448,99
449,90
450,84
451,82
452,80
453,82
454,75
455,93
456,100
457,91
458,112
459,103
460,137
461,134
462,146
463,168
464,183
465,198
466,206
467,225
468,239
469,254
470,279
471,284
472,284
473,293
474,305
475,312
476,313
477,316
478,318
479,316
480,313
481,312
482,302
483,291
484,273
485,274
486,274
487,250
488,239
489,218
490,196
491,192
492,183
493,172
494,151
495,140
496,129
497,137
498,125
499,129
